count,persona,type,title,url,channel,channel_url,firstSeen,lastSeen
5,combined2gamer2012,video,"How Return of the Obra Dinn Turns You Into a Detective",/watch?v=V0qxLrFycrc,"Game Maker's Toolkit",/@GMTK,2025-06-03T00:06:25.721Z,2025-06-06T00:05:40.299Z
5,combined2gamer2012,video,"How to play Monopoly Longest Game Ever",/watch?v=vsUAw9O78lc,"Triple S Games",/@TripleSGames,2025-06-06T05:05:40.417Z,2025-06-06T10:05:41.304Z
5,combined2gamer2012,video,"Puyo Puyo Chronicle - The Unlocalized Puyo RPG",/watch?v=TxvWrzKC4ug,Schoell,/@SchoellScrub,2025-06-05T07:06:24.808Z,2025-06-06T06:05:40.417Z
5,combined2gamer2012,video,"Road to El Dorado",/watch?v=vIJTZVzfXqY&pp=sAQB,,,2025-06-03T22:06:26.710Z,2025-06-05T09:06:24.807Z
5,combined2gamer2012,video,"Sea of Stars DLC p3",/watch?v=JcjcIUkwY-s,NinjaLink,/@NinjaLink,2025-06-03T19:06:27.218Z,2025-06-04T04:06:25.271Z
5,combined2gamer2012,video,"TETRIS EFFECT Grand Master Level 100 Expert Journey",/watch?v=geGPkZD_zY4,Wumbotize,/@Wumbotize,2025-06-03T13:06:25.023Z,2025-06-05T15:06:25.639Z
5,combined2gamer2012,video,"The State of Puyo Puyo in 2024",/watch?v=-8SoYrFJ5r4,Missingno.,/@missingno_fgc,2025-06-03T03:06:23.185Z,2025-06-05T21:05:40.864Z
5,combined2gamer2012,video,"These puzzles make engineers look stupid... Baba Is You!",/watch?v=F9p34kmI7O0,"Real Civil Engineer",/@RealCivilEngineerGaming,2025-06-03T02:06:27.594Z,2025-06-04T10:06:22.755Z
4,combined2gamer2012,short,"Cats being cats 🤣🤣 #funny #catvideos #catshorts #cat",/shorts/m6Jquekra-4,,,2025-06-04T23:06:28.219Z,2025-06-06T14:05:40.434Z
4,combined2gamer2012,short,"Common murre chicks leap off cliffs before they can fly, bouncing off rocks on the way to the ocean.",/shorts/rHLZqF-qgxs,,,2025-05-27T15:16:47.741Z,2025-05-28T00:16:48.208Z
4,combined2gamer2012,short,"Rat throws a fit over dirty basket! #pets #sillypets",/shorts/7cSpVVWfaI8,,,2025-06-05T04:06:27.038Z,2025-06-06T03:05:42.300Z
4,combined2gamer2012,short,"Remewable energy! 💡🛞 #cats #catwheel #funnycat",/shorts/GlIyDF8y0vQ,,,2025-06-02T06:15:39.373Z,2025-06-06T01:05:39.776Z
4,combined2gamer2012,short,"Solving stop-motion's biggest problem",/shorts/6YAnJSQ6Svo,,,2025-05-27T18:16:53.905Z,2025-05-28T09:16:46.440Z
4,combined2gamer2012,short,"Super Slow-Mo shows how Backspin ACTUALLY Works!",/shorts/INq7pAmaUuk,,,2025-05-28T00:16:48.208Z,2025-06-06T14:05:40.434Z
4,combined2gamer2012,short,"The Secret to Saffron (The Most Expensive Spice in the World)",/shorts/Q6DaZ9HIpcY,,,2025-05-30T09:16:23.844Z,2025-06-02T04:15:38.374Z
4,combined2gamer2012,short,"pet rat core",/shorts/eRyM-cZx3Es,,,2025-06-06T08:05:40.513Z,2025-06-06T13:05:39.725Z
4,combined2gamer2012,short,"Оn the claws / off the claws 😂",/shorts/eeaBpbAM7JY,,,2025-05-31T02:15:38.966Z,2025-06-01T02:15:39.795Z
4,combined2gamer2012,video,"ANGEL FREQUENCY 777Hz | Attract Positivity & Luck | Healing Energy For Sleep - Black Screen",/watch?v=fCZS4fKk3_w,"Sallay ",/@sallay4737,2025-06-03T03:06:23.185Z,2025-06-04T22:06:28.605Z
4,combined2gamer2012,video,"Can Roguelikes be ""Cozy Games""?",/watch?v=st2prXV9pPQ,Olexa,/@OlexaYT,2025-06-05T01:06:24.884Z,2025-06-05T07:06:24.808Z
4,combined2gamer2012,video,"Down the Nabbit Hole - New Super Mario Bros U Deluxe Gameplay",/watch?v=9rKuNUOjUqA,Funhaus,/@Funhaus,2025-05-27T09:16:46.485Z,2025-05-28T00:16:48.208Z
4,combined2gamer2012,video,"Dr. Seuss' The Lorax",/watch?v=eyWsoZnNeZs&pp=sAQB,,,2025-06-03T11:06:24.485Z,2025-06-05T10:06:25.345Z
4,combined2gamer2012,video,"Exploiting the game to make myself smarter...",/watch?v=PNc1XTt5MHA,"Real Civil Engineer",/@RealCivilEngineerGaming,2025-06-03T16:06:28.310Z,2025-06-05T03:06:24.576Z
